input_url,normalized_url,host,tls_handshake_ok,cert_subject_cn,cert_san_list,hostname_match,not_before_utc,not_after_utc,days_to_expiry,issuer_cn,serial_hex,http_status,final_url,redirect_chain,http_note,error,expired,expiring_7d,expiring_30d,cert_mismatch,final_is_http,has_insecure_note,severity,recommended_action
https://caris.lge.co.kr,https://caris.lge.co.kr,caris.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='caris.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CEF6490>: Failed to resolve 'caris.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://catalog.lge.co.kr,https://catalog.lge.co.kr,catalog.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='catalog.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CEE5BD0>: Failed to resolve 'catalog.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://cdn.lge.co.kr,https://cdn.lge.co.kr,cdn.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='cdn.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1AD50>: Failed to resolve 'cdn.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://cebit.lge.co.kr,https://cebit.lge.co.kr,cebit.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='cebit.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF19590>: Failed to resolve 'cebit.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://changwon.lge.co.kr,https://changwon.lge.co.kr,changwon.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='changwon.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF18A50>: Failed to resolve 'changwon.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://china.lge.co.kr,https://china.lge.co.kr,china.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='china.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF18690>: Failed to resolve 'china.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://chungjoo.lge.co.kr,https://chungjoo.lge.co.kr,chungjoo.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='chungjoo.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF19F90>: Failed to resolve 'chungjoo.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://chvpn.lge.co.kr,https://chvpn.lge.co.kr,chvpn.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='chvpn.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1A490>: Failed to resolve 'chvpn.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://cinevu.lge.co.kr,https://cinevu.lge.co.kr,cinevu.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='cinevu.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1B4D0>: Failed to resolve 'cinevu.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://cms.lge.co.kr,https://cms.lge.co.kr,cms.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='cms.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1BB10>: Failed to resolve 'cms.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://comdex.lge.co.kr,https://comdex.lge.co.kr,comdex.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='comdex.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1BED0>: Failed to resolve 'comdex.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://comedu.lge.co.kr,https://comedu.lge.co.kr,comedu.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='comedu.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CEE5BD0>: Failed to resolve 'comedu.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://crn.lge.co.kr,https://crn.lge.co.kr,crn.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='crn.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1B750>: Failed to resolve 'crn.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://cshappy.lge.co.kr,https://cshappy.lge.co.kr,cshappy.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='cshappy.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1A490>: Failed to resolve 'cshappy.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://cyking.lge.co.kr,https://cyking.lge.co.kr,cyking.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='cyking.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF19F90>: Failed to resolve 'cyking.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://devlive.lge.co.kr,https://devlive.lge.co.kr,devlive.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='devlive.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF18190>: Failed to resolve 'devlive.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://digitalsupplier.lge.co.kr,https://digitalsupplier.lge.co.kr,digitalsupplier.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='digitalsupplier.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF18F50>: Failed to resolve 'digitalsupplier.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://dios.lge.co.kr,https://dios.lge.co.kr,dios.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='dios.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1AC10>: Failed to resolve 'dios.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://diosbuiltin.lge.co.kr,https://diosbuiltin.lge.co.kr,diosbuiltin.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='diosbuiltin.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769BEAEAD0>: Failed to resolve 'diosbuiltin.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
https://diosphoto.lge.co.kr,https://diosphoto.lge.co.kr,diosphoto.lge.co.kr,False,,,,,,,,,,,,"HTTP head error: HTTPSConnectionPool(host='diosphoto.lge.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002769CF1AFD0>: Failed to resolve 'diosphoto.lge.co.kr' ([Errno 11001] getaddrinfo failed)""))",TLS connect error: [Errno 11001] getaddrinfo failed / fallback: [Errno 11001] getaddrinfo failed,False,False,False,False,False,False,Low,No immediate action required
