Url,Status,Response,Error_Type,Error_Code,Cert_DNS,Cause_Code
https://pyongtaek.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qa-beconcloud.lge.com,Valid,200 OK,none,none,none,none
https://qa-bof.lge.com,Valid,200 OK,none,none,none,none
https://qa-nbof.lge.com,Valid,200 OK,none,none,none,none
https://qa-ruc.developer.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qa-tms2.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qa-web1-nep-nsal.lge.com,Invalid,SSL Issue: consider using the 'Ignore SSL issues' option,NodeSslError,none,"DNS:qa-nbof.lge.com, DNS:www.qa-nbof.lge.com",ERR_TLS_CERT_ALTNAME_INVALID
https://qa-web2-nep-nsal.lge.com,Invalid,SSL Issue: consider using the 'Ignore SSL issues' option,NodeSslError,none,"DNS:qa-nbof.lge.com, DNS:www.qa-nbof.lge.com",ERR_TLS_CERT_ALTNAME_INVALID
https://qa5.adm.developer.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qa5.developer.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qt-gfts-org.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qt-lgtvonline.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qt-ngfts-org.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qt5-ruc.smartdesk.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qt5-upgfts.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://qtms.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://quiz.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://quizadmin.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://remotecall-aic.lge.com,Invalid,connect ECONNREFUSED 136.166.4.192:443,Error,ECONNREFUSED,none,ECONNREFUSED
https://remotecall-cic.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://remotecall-eic.lge.com,Invalid,connect ECONNREFUSED 195.160.254.234:443,Error,ECONNREFUSED,none,ECONNREFUSED
https://remotecallb.lge.com,Invalid,connect ECONNREFUSED 165.244.60.139:443,Error,ECONNREFUSED,none,ECONNREFUSED
https://reverseauction.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://rfwms.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://ris.lge.com,Valid,200 OK,none,none,none,none
https://rms.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://ro.lge.com,Invalid,SSL Issue: consider using the 'Ignore SSL issues' option,NodeSslError,none,"DNS:*.register.lg.com, DNS:register.lg.com",ERR_TLS_CERT_ALTNAME_INVALID
https://ro.lge.com,Invalid,SSL Issue: consider using the 'Ignore SSL issues' option,NodeSslError,none,"DNS:*.register.lg.com, DNS:register.lg.com",ERR_TLS_CERT_ALTNAME_INVALID
https://robotpay1.lge.com,Valid,404 Not Found,none,none,none,none
https://rone-aic.lge.com,Valid,200 OK,none,none,none,none
https://rone-cic.lge.com,Invalid,connect ECONNREFUSED 165.244.62.249:443,Error,ECONNREFUSED,none,ECONNREFUSED
https://rone-cis.lge.com,Valid,200 OK,none,none,none,none
https://rone-kic.lge.com,Valid,200 OK,none,none,none,none
https://rone-kicnip.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://rone-tv-aic.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://rone-tv-cic.lge.com,Invalid,connect ECONNREFUSED 165.244.62.249:443,Error,ECONNREFUSED,none,ECONNREFUSED
https://rone-tv-cis.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://rone-tv-kic.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://rone-tv-kicnip.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
